
"1&2&3",11
"1&2&5",17
"1&2&7",18
"1&2&8",10
"1&2&9",12
"1&2&11",18
"1&2&12",11
"1&2&13",11
"1&2&15",16
"1&2&16",10
"1&3&5",15
"1&3&7",17
"1&3&9",19
"1&3&11",17
"1&3&12",9
"1&3&13",11
"1&3&15",16
"1&3&16",10
"1&4&6",12
"1&4&8",13
"1&4&10",14
"1&4&12",13
"1&4&14",14
"1&4&16",12
"1&5&7",13
"1&5&9",17
"1&5&11",10
"1&5&12",10
"1&5&14",13
"1&5&16",13
"1&6&8",9
"1&6&10",11
"1&6&12",10
"1&6&15",12
"1&7&8",12
"1&7&9",10
"1&7&11",18
"1&7&12",9
"1&7&13",11
"1&7&15",15
"1&7&16",10
"1&8&9",10
"1&8&11",12
"1&8&12",9
"1&8&14",14
"1&8&16",13
"1&9&11",17
"1&9&12",11
"1&9&13",12
"1&9&15",16
"1&9&16",11
"1&10&12",14
"1&10&13",9
"1&10&15",12
"1&11&12",15
"1&11&13",10
"1&11&15",14
"1&11&16",10
"1&12&13",10
"1&12&15",14
"1&13&14",14
"1&13&15",10
"1&13&16",11
"1&14&16",11
"1&15&16",10
"2&3&5",13
"2&3&7",15
"2&3&9",18
"2&3&11",17
"2&3&13",18
"2&3&15",13
"2&3&16",9
"2&4&6",10
"2&4&8",15
"2&4&10",14
"2&4&12",15
"2&4&14",14
"2&4&16",14
"2&5&7",14
"2&5&9",17
"2&5&11",14
"2&5&12",11
"2&5&14",13
"2&5&16",14
"2&6&8",9
"2&6&10",9
"2&6&12",9
"2&6&15",10
"2&7&8",14
"2&7&9",12
"2&7&10",11
"2&7&11",14
"2&7&12",11
"2&7&13",13
"2&7&15",19
"2&7&16",12
"2&8&9",11
"2&8&11",15
"2&8&12",10
"2&8&13",10
"2&8&15",13
"2&9&10",17
"2&9&11",11
"2&9&12",11
"2&9&13",11
"2&9&15",17
"2&9&16",11
"2&10&11",11
"2&10&13",16
"2&10&15",15
"2&10&16",10
"2&11&12",9
"2&11&13",12
"2&11&15",18
"2&11&16",12
"2&12&13",9
"2&12&15",15
"2&12&16",9
"2&13&15",16
"2&13&16",11
"2&14&16",11
"2&15&16",11
"3&4&6",10
"3&4&8",11
"3&4&10",11
"3&4&12",11
"3&4&14",11
"3&4&16",13
"3&5&7",10
"3&5&9",12
"3&5&11",9
"3&5&13",13
"3&5&15",9
"3&6&7",9
"3&6&9",9
"3&6&12",11
"3&6&15",11
"3&7&8",11
"3&7&9",9
"3&7&11",18
"3&7&13",18
"3&7&15",13
"3&7&16",10
"3&8&10",13
"3&8&12",13
"3&8&14",10
"3&8&16",12
"3&9&11",15
"3&9&13",18
"3&9&15",14
"3&9&16",9
"3&10&12",13
"3&10&14",12
"3&10&16",16
"3&11&13",16
"3&11&15",14
"3&11&16",11
"3&12&14",12
"3&12&16",14
"3&13&15",15
"3&13&16",11
"3&14&16",10
"3&15&16",10
"4&5&7",10
"4&5&9",12
"4&5&11",9
"4&5&13",12
"4&5&15",12
"4&6&8",15
"4&6&10",12
"4&6&12",10
"4&6&14",12
"4&6&16",9
"4&7&9",13
"4&7&11",14
"4&7&13",13
"4&7&15",13
"4&8&9",15
"4&8&11",11
"4&8&13",14
"4&8&15",13
"4&9&10",13
"4&9&12",15
"4&9&14",16
"4&9&16",14
"4&10&12",13
"4&10&14",14
"4&10&16",14
"4&11&13",13
"4&11&15",15
"4&12&13",14
"4&12&15",12
"4&13&14",12
"4&13&16",12
"4&14&16",12
"5&6&7",10
"5&6&9",9
"5&6&12",9
"5&6&16",10
"5&7&9",13
"5&7&11",14
"5&7&12",9
"5&7&14",13
"5&7&16",15
"5&8&10",11
"5&8&12",15
"5&8&14",11
"5&8&16",9
"5&9&11",10
"5&9&12",9
"5&9&14",12
"5&9&16",12
"5&10&12",11
"5&10&15",13
"5&11&12",12
"5&11&14",11
"5&11&16",13
"5&12&14",14
"5&12&16",14
"5&13&15",9
"5&14&15",10
"5&15&16",12
"6&7&10",10
"6&7&13",11
"6&7&16",9
"6&8&10",10
"6&8&12",9
"6&8&15",11
"6&9&11",12
"6&9&13",12
"6&9&16",12
"6&10&13",13
"6&10&16",11
"6&11&14",9
"6&11&16",10
"6&12&15",10
"6&13&15",9
"6&15&16",13
"7&8&9",9
"7&8&11",15
"7&8&13",18
"7&8&15",12
"7&9&10",17
"7&9&11",11
"7&9&12",9
"7&9&13",11
"7&9&15",16
"7&9&16",11
"7&10&11",12
"7&10&13",17
"7&10&15",17
"7&10&16",11
"7&11&12",9
"7&11&13",14
"7&11&15",20
"7&11&16",14
"7&12&13",9
"7&12&15",14
"7&12&16",9
"7&13&15",18
"7&13&16",13
"7&14&16",14
"7&15&16",12
"8&9&11",15
"8&9&12",10
"8&9&13",10
"8&9&15",14
"8&10&11",14
"8&10&13",12
"8&10&15",10
"8&11&12",13
"8&11&13",9
"8&11&15",12
"8&12&13",16
"8&12&15",11
"8&13&14",13
"8&13&16",15
"8&15&16",14
"9&10&11",9
"9&10&13",17
"9&10&15",15
"9&10&16",9
"9&11&13",18
"9&11&15",16
"9&11&16",11
"9&12&13",10
"9&12&15",15
"9&12&16",9
"9&13&15",17
"9&13&16",11
"9&14&16",13
"9&15&16",11
"10&11&13",17
"10&11&15",19
"10&11&16",12
"10&12&14",11
"10&12&16",14
"10&13&15",16
"10&13&16",10
"10&14&16",14
"10&15&16",12
"11&12&14",13
"11&12&16",17
"11&13&15",18
"11&13&16",13
"11&14&16",15
"11&15&16",13
"12&13&15",13
"12&13&16",9
"12&14&16",11
"12&15&16",9
"13&14&16",13
"13&15&16",12
